text_id,dateiname,fehlertyp,untertyp_fehler,satz_einfacher_text,kommentar
8,08_flächenversiegelung,Semantik,Bedeutungsverschiebung,"Der Untergrund, auf dem wir leben, ist nicht mehr gesund. ",Ich finde es geht ihr tatsächlich  um Boden.
2,02_darmbakterien,Semantik,Bedeutungsverschiebung,Unsere Leber kann nach einem Verlust wieder nachwachsen. ,Wenn ein Teil verloren geht!
2,02_darmbakterien,Semantik,Bedeutungsverschiebung,Dabei spielen Bakterien in unserem Darm eine wichtige Rolle.,Darm
2,02_darmbakterien,Semantik,Bedeutungsverschiebung,"Wenn ein Teil der Leber verloren geht, kann sie oft in nur wenigen Wochen wieder nachwachsen. ",ein Teil
2,02_darmbakterien,Semantik,Bedeutungsverschiebung,Auch bei menschlichen Leberzellen sah man ähnliche Ergebnisse.,"Enzym wird weggelassen, die menschlichen Zellen kommen nicht mit Fettsäuren in die Petrischale"
2,02_darmbakterien,Semantik,Bedeutungsverschiebung,"Aber vielleicht finden wir bald heraus, welche Bakterien gerade für die Leber besonders gut sind. ",Bakterienzusammensetzungen
3,03_cholesterin,Semantik,Bedeutungsverschiebung,"Forscher haben eine Methode namens ""Base Editing"" entwickelt.",Die Forscher nutzen eine kürzlich entwickelte Methode
3,03_cholesterin,Semantik,Bedeutungsverschiebung,"Forscher denken darüber nach, ""Base Editing"" auch für andere Krankheiten einzusetzen, zum Beispiel bei Stoffwechsel- oder Augenleiden. ",Augenleiden
4,04_mars,Semantik,Bedeutungsverschiebung,"Bislang war die Meinung verbreitet, dass der Mars einst, vor rund 3,5 Milliarden Jahren, warm war und reichlich Wasser hatte. ","Es geht um Feuchtigkeit und fließendes Wasser, nicht um Wasser generell"
5,05_mathe,Semantik,Bedeutungsverschiebung,"Pushmeet Kohli von Google DeepMind sagt, dass so ein Programm noch nie zuvor Mathematikern so sehr geholfen hat. ",So ein Programm bedeutet hier ein an LLMs angelehntes KI-Programm
5,05_mathe,Semantik,Bedeutungsverschiebung,Das ist bei vielen anderen Computerprogrammen nicht so.,"Nicht bei anderen Computerprogrammen, sondern speziell bei KI"
6,06_batterie,Semantik,Bedeutungsverschiebung,"Die Akkus, die wir jetzt benutzen, wurden über 20 Jahre entwickelt.","Nicht alle Akkus, sondern Lithium Ionen Akkus"
6,06_batterie,Semantik,Bedeutungsverschiebung,"Der neue Stoff könnte Lithium ersetzen, das teuer und nicht gut für die Umwelt ist. ",Lithium reduzieren
7,07_hefe,Semantik,Bedeutungsverschiebung,"Normalerweise besitzt Hefe 16 Chromosomen, aber bei dieser neuen Hefe sind sechs ganze Chromosomen und ein Teil eines siebten künstlich hergestellt.","Nur Bierhefe hat 16 Chromosomen
Saccharomyces paradoxus hat zum Beispiel 17"
8,08_flächenversiegelung,Semantik,Bedeutungsverschiebung,"Weltweit hat ein großer Teil der Böden an Fruchtbarkeit eingebüßt,","Hm ja Fruchtbarkeit kommt zuerst und dann erst der Humus? Im Originaltext geht es um die Bodenqualität, selbes Problem hinten mit der Ernte - also einmal Kausalitätsfehler und dann auch Übergeneralisieurng, da es über die Ernäherung hinaus auch um den Lebensraum von imerhin 25 Prozent aller Lebewesen geht..."
9,09_mond,Semantik,Bedeutungsverschiebung, die bald wieder zum Mond oder zum Mars fliegen möchten.,"Mars ist nur vielleicht, aber zum Mond ist eine Mission geplant."
10,10_neandertaler,Semantik,Bedeutungsverschiebung,"Jean-Jacques Hublin vom Max-Planck-Institut sagt, dass die heutigen Menschen schon andere Arten verdrängt haben.","Eigentlich sagt er, dass wir andere Menschenarten ausgerottet haben"
12,12_eismond,Semantik,Bedeutungsverschiebung,"Dort hat man Hinweise entdeckt, die darauf hindeuten, dass es vielleicht Leben geben könnte.","Es gibt könnte Aminosäuren geben, aber selbst deren Existenz impliziert nicht die Existenz von Leben"
13,13_neutrinos,Semantik,Bedeutungsverschiebung,Die würden noch weniger mit unserer gewöhnlichen Materie zu tun haben.,Ich denke hier kann man schon von Atomkernen sprechen
13,13_neutrinos,Semantik,Bedeutungsverschiebung,Die würden noch weniger mit unserer gewöhnlichen Materie zu tun haben.,Zu tun haben ist etwas anderes als interagieren.
14,14_kunststoffe,Semantik,Bedeutungsverschiebung,Über viele wissen wir fast nichts ,Nichts im Bezug auf Toxikologie
14,14_kunststoffe,Semantik,Bedeutungsverschiebung,Plastik kann Umwelt und Tiere schädigen. ,Eigentlich geht es um Abbauprodukte von Plastik
15,15_corona,Semantik,Bedeutungsverschiebung,"Die Sieben-Tage-Zahl schwankt weniger und gibt uns ein besseres Bild von der Verbreitung des Virus.
","Jein, es gibt uns ein besseres Bild vom langfristigen Infektionsgeschehen, aber mit dem Nachteil, dass eine Glättung stattfindet und somit akute Entwicklungen  weniger gut sichtbar sind
"
18,18_neutrinos,Semantik,Bedeutungsverschiebung, Manchmal treffen Neutrinos auf die winzigen Bestandteile von Atomen im Stern. ,"Es geht an dieser Stelle nur um die Atome, die weiter außen sind.
"
7,07_hefe,Semantik,Bedeutungsverschiebung,Jedes Chromosom musste sorgfältig überprüft werden.,"Eigentlich sagen sie, dass jede Hefezelle überprüft werden muss, nicht jedes Chromosom."
8,08_flächenversiegelung,Semantik,Bedeutungsverschiebung,Zu viel Bauarbeit und intensive Landwirtschaft schaden ihm,"Bauarbeit ist nur ei nTiel der Flächenversiegelung, das geht ja auch durch Golfplätze oder ErosErosion etc. Also hier eine Untergeneralisierung?
"
1,01_parkinson,Semantik,wichtige Aussage fehlt,"Diese nennt sich RETFound und kann viele Krankheiten aufspüren, indem sie Aufnahmen von der Netzhaut anschaut.","Es fehlt, dass auch Risiken erkannt werden können"
1,01_parkinson,Semantik,wichtige Aussage fehlt,Die Netzhaut ist sehr interessant. ,für was interessant? Für die Gesundheit
3,03_cholesterin,Semantik,wichtige Aussage fehlt,Die Forscher nutzen eine kürzlich entwickelte Methode,Base Editing ist noch nicht klinisch zugelassen
3,03_cholesterin,Semantik,wichtige Aussage fehlt,Dort hat sie den Cholesterinspiegel erfolgreich gesenkt. ,Cholesterinspiegel wird stark! 81% gesenkt
4,04_mars,Semantik,wichtige Aussage fehlt,Ein Forschungsteam hat alte Marstäler untersucht und die Daten mit ähnlichen Landschaftsformen auf der Erde verglichen.,"Die Täler bleiben ja alt auch wenn die Aufnahmen neu und aktuell sind. Aber der Fehler ist zu sehen in: sem. Wewwesentliche Information nicht benannt, nämlich die neuen Aufnahmen, die all die Annahmen und neuen Erkenntnisse erst ermöglichen bzw. Zweifel an der warmen Wsserwelt ins Spiel bringen"
4,04_mars,Semantik,wichtige Aussage fehlt, Doch die Studienergebnisse von Grau Galofre und ihrem Team bringen Unsicherheit in diese Überzeugung. ,"Die Formllierung ist nicht konkret genug: Die Forschungsergebnisse verursachen weitere Zweifel oder führen zu weiteren Zweifeln in den bisherigen Annahmen - nicht Unsicherhieten, denn hier fehlt das Objekt der Unsicherhiten - ich würded also hier einen Syntaxfehler aannehmen, mit einem fehlenden Objekt gepaart mit einer wichtigen fehlenden sem. Information = 2.7. das wiegt sogar noch schwerer als der Syntax, da man auch Objekte ja immamanchmal bbei solch langen Sätzen wo anders erblicken kann und dann ist ddie Trias aus Subjekt Objekt Prädikat der Satzglieder komplett und es liegt kein Syntaxfehler vor."
5,05_mathe,Semantik,wichtige Aussage fehlt,elfen kann. Über diese Entdeckung,"Mir fehlt, dass es um Kombinatorik geht. Kombinatorik, also Sets (genau wie der Name des Spiels auch)"
5,05_mathe,Semantik,wichtige Aussage fehlt,Bernardino Romera-Paredes hat dazu gesagt:,"Wer soll das sein? Hier fehlt die Referenz, dass er bei Deepmind ist"
5,05_mathe,Semantik,wichtige Aussage fehlt,"In diesem Spiel gibt es 81 Karten, und Spieler müssen daraus Sets finden. ",Was ist ein Set?
5,05_mathe,Semantik,wichtige Aussage fehlt,"Er hofft, dass Computer dazu beitragen, unsere Arbeit zu verbessern und nicht einfach nur Aufgaben von uns zu übernehmen.","Hier fehlt der Ausdruck des Kraftverstärkers also das Mensch u nd Maschiine dann zusammen mehr wissentschaftliche Kraft haben, würde hier eine fehlende wichtige sem Aussage bemängeln?"
6,06_batterie,Semantik,wichtige Aussage fehlt,Früher hätte so eine Suche viele Jahre oder sogar Jahrzehnte gedauert.,Entwicklung war teuer
6,06_batterie,Semantik,wichtige Aussage fehlt,Das ist ein riesiger Fortschritt.,"Es war nicht eine KI, sondern ein mehrstufiger Prozess"
6,06_batterie,Semantik,wichtige Aussage fehlt,Die Wissenschaftler untersuchen jetzt einen besonderen Stoff. ,Es ist Natrium
6,06_batterie,Semantik,wichtige Aussage fehlt,"Der neue Stoff könnte Lithium ersetzen, das teuer und nicht gut für die Umwelt ist. ",Knappheit von Lithium
6,06_batterie,Semantik,wichtige Aussage fehlt,"Das könnte uns in der Zukunft bei vielen Problemen helfen.
",Der Stoff könnte sich noch als unbrauchbar erweisen.
7,07_hefe,Semantik,wichtige Aussage fehlt,"Nili Ostrov ist der Meinung, dass das Sc2.0-Projekt große Chancen für die Biologie bringt.","Es wird nicht klar, wer der Mensch ist und weshalb er Autorität hat, etwas zu dieser Angelegenheit zu sagen"
8,08_flächenversiegelung,Semantik,wichtige Aussage fehlt,Manchmal verwandelt sich gesunder Boden in Wüste. ,Warum verwandeln sich Böden in Wüsten
9,09_mond,Semantik,wichtige Aussage fehlt,"Zwei Forscher aus Italien, Mario Nicola Mazziotta und Francesco Loparco, erforschen diese Helligkeit, um zu verstehen, wie kosmische Strahlung funktioniert.",Sie erforschen genau genommen nur den hochenergetischen Teil der kosmischen Strahlung.
10,10_neandertaler,Semantik,wichtige Aussage fehlt,"Es gibt Wissenschaftler, die denken, dass wir, die Menschen, die heute leben, damals besser in einigen Dingen waren.","Als die Neandertaaler, hier fehlt also sem eine wichtige Information"
11,11_starship,Semantik,wichtige Aussage fehlt,Bei früheren Versuchen endeten diese meist in großen Explosionen. ,vier vorherige Tests sind gescheitert
11,11_starship,Semantik,wichtige Aussage fehlt,"Fast wäre alles perfekt gewesen, aber nach der Landung fing ein kleiner Teil des Starships Feuer. ","Es ist unklar, ob das kurz vorher oder nach der Landung passiert ist."
12,12_eismond,Semantik,wichtige Aussage fehlt,"Früher wurden bereits komplexe organische Moleküle auf Enceladus entdeckt, aber sie konnten nicht zeigen, ob im Ozean des Mondes Leben entstehen kann. ","Es geht hier um Größere und Komplexere, da später die kleineren Molekühle ins Spiel kommen , muss hier auch das adj. Größere fallen - Also Fehler Sem. Wichtige Information nicht gegeben.
"
12,12_eismond,Semantik,wichtige Aussage fehlt,"Die neuesten Forschungen aber haben kleinere Moleküle nachgewiesen, die sich in Wasser auflösen und Teil von lebenswichtigen Reaktionen werden können. Diese Moleküle, wie zum Beispiel Azetaldehyd oder Methylamin, sind einfacher als die großen organischen Moleküle, die sich nicht gut in Wasser lösen.","Nur Dinge, die im Wasser löslich sind, können an Vielfältigen Reaktionen teilnehmen. Das macht die neu gefundenen Moleküle besonders."
12,12_eismond,Semantik,wichtige Aussage fehlt,"Früher wurden bereits komplexe organische Moleküle auf Enceladus entdeckt, aber sie konnten nicht zeigen, ob im Ozean des Mondes Leben entstehen kann. ",Es geht darum welche Reaktionen ablaufen können
13,13_neutrinos,Semantik,wichtige Aussage fehlt,"Wenn es sterile Neutrinos gäbe, würden sie weniger Neutrinos messen, die aus der Richtung der Erde kommen.","Hier fehlt die gesamte Erklärungskette, warum man das denkt"
14,14_kunststoffe,Semantik,wichtige Aussage fehlt,"Das nächste Treffen findet in Ottawa, Kanada, statt.",Es fehlt der Bezug zur UN
14,14_kunststoffe,Semantik,wichtige Aussage fehlt,Vergangene Berichte sprachen von etwa 13.000 Chemikalien. ,"Wichtige Info fehlt, hier der Gezug zu in diesem Themenfeld der Kunststofe o.ä
"
15,15_corona,Semantik,wichtige Aussage fehlt,"Das Virus breitet sich schneller aus, aber ein Lockdown ist nicht geplant. ","Welches? Wem wichtige Info fehlt
"
15,15_corona,Semantik,wichtige Aussage fehlt,"Das Virus breitet sich schneller aus, aber ein Lockdown ist nicht geplant. ",Schneller als wann?
15,15_corona,Semantik,wichtige Aussage fehlt,Damals sanken die Neuinfektionen von täglich über 5500 auf 171.,"Früher hieß es, dass wir R unbedingt unter 1 halten müssen. Jetzt sieht man das anders"
16,16_lügen,Semantik,wichtige Aussage fehlt,Bei einfachen Lügen passierte das weniger oft.,"Hier fehlt, dass beim reinen Verneinen sogar mehr Asynchronität besteht als bei wahren Aussagen"
17,17_intelligenz,Semantik,wichtige Aussage fehlt,"Wenn wir komplexe Lügen erzählen, fällt es uns schwer, unsere Körpersprache zu beherrschen. Einfache Lügen können wir besser kontrollieren. Aber selbst die Forscher konnten kein eindeutiges Zeichen finden, das immer beim Lügen auftritt.","Wie sehr die Versuchspersonen ihr gegenüber spiegeln, liegt nicht an der Lüge oder Wahrheit, sondern daran, wie viel geistige Anstrengung sie aufwenden müssen"
17,17_intelligenz,Semantik,wichtige Aussage fehlt,"Hier ist es für viele in Ordnung, wenn der Partner hohe Werte erreicht. ",Leute wünschen sich eine hohe Intelligenz. Diese ist sogar wichtiger als der IQ
17,17_intelligenz,Semantik,wichtige Aussage fehlt,"Männer vermuten, dass ihre Partnerin sechs IQ-Punkte mehr hat, Frauen schätzen ihren Partner auf acht Punkte mehr.","Hier fehlt eine Präzisierung, nämlich 6 Punkte als der Partner tatsächlich hat. Es könnte auch heißen, dass es 6 Punkte mehr sind als man selbst hat."
19,19_wüste,Semantik,wichtige Aussage fehlt,Forscher finden in der trockenen Atacama-Wüste überraschend viele kleine Lebewesen tief im Boden.,"Es geht um die heißeste Wüste der Welt
"
19,19_wüste,Semantik,wichtige Aussage fehlt,"Diese bevorzugen es, in Gips zu leben.","Sie bevorzugen Gips, weil er eine Wasserquelle ist
"
20,20_neutrinomasse,Semantik,wichtige Aussage fehlt,"Diese Entdeckung veröffentlichten sie in einer Zeitschrift, die ""Nature Physics"" heißt.","Die Fortschritte kommen durch eine extrem feine Messapperatur und hervorragende Kontrolle von Störfaktoren
"
20,20_neutrinomasse,Semantik,wichtige Aussage fehlt,"Aber warum ist das so wichtig? Neutrinos sind überall. Sie kommen von der Sonne und anderen Sternen und durchdringen sogar uns, ohne dass wir es bemerken. ","Ich fifinde es auch wichtig, dass die Neutrinos keine elektrische Ladung ahben. Daher heißen sie ja auch so und komkommen überall ohne Interaktion durch - sollte dies als wichtige Information als Sem noch rein?"
20,20_neutrinomasse,Semantik,wichtige Aussage fehlt,"Das ist sehr leicht!
","Es gibt noch weitere Forschung, um die Masse genauer zu bestimmen"
20,20_neutrinomasse,Semantik,wichtige Aussage fehlt,"Diese Entdeckung veröffentlichten sie in einer Zeitschrift, die ""Nature Physics"" heißt.",Die Fortschritte kommen durch eine extrem feine Messapperatur und hervorragende Kontrolle von Störfaktoren
20,20_neutrinomasse,Semantik,wichtige Aussage fehlt,"Anhand der Energie des Elektrons versuchen sie, das Gewicht des Neutrinos herauszufinden","Hier fehlt  das Konzept der Energieerhaltung, was überhaupt erklärt, warum man das  Elektron vermessen kann
"
20,20_neutrinomasse,Semantik,wichtige Aussage fehlt,"Das nennt man Neutrino-Oszillation und das beweist, dass sie ein kleines Gewicht haben.
","Warum bedeutet die Oszillation, dass es eine Masse geben muss"
1,01_parkinson,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,"""Die KI lernt viel, indem sie viele Bilder betrachtet. Sie merkt sich, wie eine gesunde Netzhaut auszusehen hat.""",
1,01_parkinson,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,Man kann die KI nehmen und sie mit eigenen Bildern verbessern.,
2,02_darmbakterien,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,"Nicht alle Bakterien werden durch Antibiotika getötet, sagt Anna Sichler, die auch an der Studie beteiligt war.",
2,02_darmbakterien,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,"Wir kennen das Mikrobiom noch nicht ganz, so Janssen. ",
3,03_cholesterin,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,Aber wir müssen noch weiterforschen. ,
5,05_mathe,Syntax,falsche oder fehlende Kennzeichnung direkter Rede, Das Programm bringt uns neue Denkansätze. ,Der beliebte Fehler der indirekteen Rede bzw. die „ „ fehlen
5,05_mathe,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,Das erklärt Mathematiker Jordan Ellenberg.,
7,07_hefe,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,"Die Forschung hilft uns auch zu verstehen, wie Hefe funktioniert. Das erzählt uns der Biologe Jef Boeke aus New York.",
7,07_hefe,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,"Diese neuen Hefen konnten überleben und sich weiter vermehren, berichtet Boeke.",
7,07_hefe,Syntax,falsche oder fehlende Kennzeichnung direkter Rede,"Das wird noch dauern, sagt Boeke.",
4,04_mars,Syntax,Komma,"Bislang war die Meinung verbreitet, dass der Mars einst, vor rund 3,5 Milliarden Jahren, warm war und reichlich Wasser hatte. ",Kein Komma nach einst
6,06_batterie,Syntax,Satzstellung,Aber man sollte noch nicht zu früh sich freuen.,
10,10_neandertaler,Syntax,Satzstellung,Vielleicht haben wir die Neandertaler verdrängt oder haben die Vorfahren uns auch vermischt,
